"Adresse : Ville","COLL_INSEE","ACCESSIBILITE _COMPTEUR","EMPLACEMENT_TYPE","FERMETURE_COMPTEUR","FERMETURE_DATE","TOURNEE_CODE","ANNEE_COMPTEUR","MARQUE_COMPTEUR","DIAMETRE_COMPTEUR","TYPE_COMPTEUR","POSE_DATE","Radio relève","ANCIEN_RELEVE_DATE","ANCIEN_INDEX","NOUVEAU_RELEVE-DATE","NOUVEAU_RELEVE","RELEVE_TYPE","CONSOMMATION","RELEVE_N-1_DATE","RELEVE_N-1","RELEVE_N-1_TYPE","CONSOMMATION","RELEVE_N-2_DATE","RELEVE_N-2","RELEVE_N-2_TYPE","CONSOMMATION","RELEVE_N-3_DATE","RELEVE_N-3","RELEVE_N-3_TYPE","CONSOMMATION_N-3","RELEVE_N-4_DATE","RELEVE_N-4","RELEVE_N-4_TYPE","CONSOMMATION_N-4","RELEVE_N-5_DATE","RELEVE_N-5","RELEVE_N-5_TYPE","CONSOMMATION_N-5","CONTRAT_ACTIF","OUVERTURE_CONTRAT_DATE","CLOTURE_CONTRAT_DATE"
"DIGNE LES BAINS","04070","Oui",,"Non",,10,2017,"Sappel",15,"Altair",17/08/2017,"Oui",31/08/2018,59,15/02/2019,78,"R",19,31/08/2018,59,"R",0,21/08/2018,59,"R",0,04/07/2018,59,"U",25,16/02/2018,34,"R",33,12/09/2017,1,"U",1,"Oui",31/08/2018,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,10,2016,"Sappel",15,"Altair",29/09/2016,"Oui",23/08/2018,174,15/02/2019,209,"R",35,23/08/2018,174,"R",37,16/02/2018,137,"R",7,18/01/2018,130,"R",18,01/11/2017,112,"R",0,30/10/2017,112,"R",22,"Oui",01/11/2017,
"DIGNE LES BAINS","04070","Non",,"Non",,10,2016,"Sappel",15,"Altair",12/09/2016,"Oui",03/09/2018,95,15/02/2019,95,"R",0,03/09/2018,95,"R",0,21/08/2018,95,"R",0,16/02/2018,95,"R",33,17/08/2017,62,"R",36,20/02/2017,26,"R",26,,29/09/2016,31/08/2018
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,10,2016,"Sappel",15,"Altair",10/10/2016,"Oui",23/08/2018,111,18/02/2019,146,"R",35,23/08/2018,111,"R",42,20/02/2018,69,"R",39,21/08/2017,30,"R",20,24/03/2017,10,"U",0,23/03/2017,10,"U",0,"Oui",24/03/2017,
"DIGNE LES BAINS","04070","Oui","JARDIN","Non",,45,2013,"Sappel",15,"Altair",10/07/2013,"Oui",26/09/2018,1809,26/03/2019,1923,"R",114,26/09/2018,1809,"R",102,29/03/2018,1707,"R",96,28/09/2017,1611,"R",95,04/04/2017,1516,"R",100,27/09/2016,1416,"R",108,"Oui",02/09/2009,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,55,2012,"Sappel",15,"Altair",26/12/2012,"Oui",10/04/2018,597,09/10/2018,660,"R",63,10/04/2018,597,"R",43,13/10/2017,554,"R",79,20/04/2017,475,"R",69,05/10/2016,406,"R",66,30/03/2016,340,"R",53,"Oui",15/12/2012,
"DIGNE LES BAINS","04070","Oui",,"Non",,35,2014,"Sappel",15,"Altair",18/07/2014,"Oui",19/09/2018,76,14/03/2019,76,"R",0,19/09/2018,76,"R",17,14/03/2018,59,"R",12,14/09/2017,47,"R",22,01/07/2017,25,"U",0,22/03/2017,25,"R",25,"Oui",01/07/2017,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,45,2012,"Sappel",15,"Altair",30/12/2013,"Oui",27/09/2018,183,26/03/2019,238,"R",55,27/09/2018,183,"R",37,27/03/2018,146,"R",1,09/02/2018,145,"U",0,08/02/2018,145,"R",1,27/09/2017,144,"R",0,"Oui",09/02/2018,
"DIGNE LES BAINS","04070","Non","JARDIN","Non",,45,2016,"Sappel",15,"Altair",30/05/2016,"Oui",26/09/2018,28,26/03/2019,38,"R",10,26/09/2018,28,"R",6,22/03/2018,22,"R",7,26/09/2017,15,"R",7,30/03/2017,8,"R",5,26/09/2016,3,"R",3,"Oui",02/09/2009,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,10,2008,"Actaris",15,"Aquadis+",17/06/2008,,23/08/2018,1119,18/02/2019,1181,"R",62,23/08/2018,1119,"R",46,06/04/2018,1073,"R",0,05/04/2018,1073,"R",8,15/02/2018,1065,"R",0,21/08/2017,1065,"R",42,"Oui",06/04/2018,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,20,2001,"Schlumberger",15,"Aquadis/Aquaco TS",30/05/2001,,03/09/2018,686,01/03/2019,722,"R",36,03/09/2018,686,"R",26,28/02/2018,660,"R",50,13/10/2017,610,"R",0,23/09/2017,610,"R",5,31/08/2017,605,"R",58,"Oui",13/10/2017,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,30,2016,"Sappel",15,"Altair",08/02/2016,"Oui",12/09/2018,298,12/03/2019,348,"R",50,12/09/2018,298,"R",52,09/03/2018,246,"R",56,12/09/2017,190,"R",55,21/03/2017,135,"R",68,14/09/2016,67,"R",60,"Oui",18/12/2013,
"DIGNE LES BAINS","04070","Oui",,"Non",,45,2016,"Sappel",15,"Altair",30/05/2016,"Oui",26/09/2018,192,26/03/2019,218,"R",26,26/09/2018,192,"R",37,22/03/2018,155,"R",28,26/09/2017,127,"R",56,30/03/2017,71,"R",34,26/09/2016,37,"R",37,"Oui",02/09/2009,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,35,2012,"Sappel",15,"Altair",15/03/2012,"Oui",20/09/2018,397,13/03/2019,416,"R",19,20/09/2018,397,"R",36,15/03/2018,361,"R",19,13/09/2017,342,"R",29,22/03/2017,313,"R",8,01/01/2017,305,"R",0,"Oui",01/01/2017,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,35,2011,"Sappel",15,"Altair V4",25/01/2012,"Oui",20/09/2018,303,13/03/2019,323,"R",20,20/09/2018,303,"R",23,15/03/2018,280,"R",15,13/09/2017,265,"R",27,22/03/2017,238,"R",12,15/09/2016,226,"R",38,"Oui",25/01/2012,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,35,2013,"Sappel",15,"Altair",19/03/2013,"Oui",20/09/2018,236,13/03/2019,249,"R",13,20/09/2018,236,"R",26,15/03/2018,210,"R",21,13/09/2017,189,"R",28,22/03/2017,161,"R",22,15/09/2016,139,"R",22,"Oui",02/09/2009,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,20,2011,"Sappel",15,"Altair",08/12/2011,"Oui",04/09/2018,1170,01/03/2019,1254,"R",84,04/09/2018,1170,"R",79,01/03/2018,1091,"R",88,31/08/2017,1003,"R",81,06/03/2017,922,"R",85,05/09/2016,837,"R",70,"Oui",01/01/2012,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,50,2017,"Sappel",15,"Altair",08/03/2018,"Oui",09/04/2018,1,03/10/2018,13,"R",12,09/04/2018,1,"R",1,08/03/2018,0,"R",0,08/03/2018,25,"R",4,09/10/2017,21,"R",12,11/04/2017,9,"R",4,"Oui",25/07/2016,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,45,2018,"Sappel",15,"Altair",30/07/2018,"Oui",27/09/2018,11,26/03/2019,39,"R",28,27/09/2018,11,"R",11,30/07/2018,0,"R",0,30/07/2018,700,"R",17,29/03/2018,683,"R",29,26/09/2017,654,"R",30,"Oui",10/11/2016,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,10,2016,"Sappel",15,"Altair",23/06/2016,"Oui",22/08/2018,81,18/02/2019,97,"R",16,22/08/2018,81,"R",17,15/02/2018,64,"R",19,21/08/2017,45,"R",25,23/02/2017,20,"R",20,22/08/2016,0,"R",0,"Oui",01/08/2016,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,15,2014,"Sappel",15,"Altair",04/02/2014,"Oui",24/08/2018,227,22/02/2019,239,"R",12,24/08/2018,227,"R",10,22/02/2018,217,"R",10,29/08/2017,207,"R",10,28/02/2017,197,"R",13,26/09/2016,184,"R",1,"Oui",06/12/2015,
